,YEAR,MONTH,DAY
866,1913,5,15
867,1913,5,16
868,1913,5,17
869,1913,5,18
870,1913,5,19
871,1913,5,20
872,1913,5,21
873,1913,5,22
874,1913,5,23
875,1913,5,24
876,1913,5,25
877,1913,5,26
878,1913,5,27
879,1913,5,28
880,1913,5,29
881,1913,5,30
882,1913,5,31
883,1913,6,1
884,1913,6,2
885,1913,6,3
886,1913,6,4
887,1913,6,5
888,1913,6,6
889,1913,6,7
890,1913,6,8
891,1913,6,9
892,1913,6,10
893,1913,6,11
894,1913,6,12
895,1913,6,13
896,1913,6,14
897,1913,6,15
898,1913,6,16
899,1913,6,17
900,1913,6,18
901,1913,6,19
902,1913,6,20
903,1913,6,21
904,1913,6,22
905,1913,6,23
906,1913,6,24
907,1913,6,25
908,1913,6,26
909,1913,6,27
910,1913,6,28
911,1913,6,29
912,1913,6,30
913,1913,7,1
914,1913,7,2
915,1913,7,3
916,1913,7,4
917,1913,7,5
918,1913,7,6
919,1913,7,7
920,1913,7,8
921,1913,7,9
922,1913,7,10
923,1913,7,11
924,1913,7,12
925,1913,7,13
926,1913,7,14
927,1913,7,15
928,1913,7,16
929,1913,7,17
930,1913,7,18
931,1913,7,19
932,1913,7,20
933,1913,7,21
934,1913,7,22
935,1913,7,23
936,1913,7,24
937,1913,7,25
938,1913,7,26
939,1913,7,27
940,1913,7,28
941,1913,7,29
942,1913,7,30
943,1913,7,31
944,1913,8,1
945,1913,8,2
946,1913,8,3
947,1913,8,4
948,1913,8,5
949,1913,8,6
950,1913,8,7
951,1913,8,8
952,1913,8,9
953,1913,8,10
954,1913,8,11
955,1913,8,12
956,1913,8,13
957,1913,8,14
958,1913,8,15
959,1913,8,16
960,1913,8,17
961,1913,8,18
962,1913,8,19
963,1913,8,20
964,1913,8,21
965,1913,8,22
966,1913,8,23
967,1913,8,24
968,1913,8,25
969,1913,8,26
970,1913,8,27
971,1913,8,28
972,1913,8,29
973,1913,8,30
974,1913,8,31
975,1913,9,1
976,1913,9,2
977,1913,9,3
978,1913,9,4
979,1913,9,5
980,1913,9,6
981,1913,9,7
982,1913,9,8
983,1913,9,9
984,1913,9,10
985,1913,9,11
986,1913,9,12
987,1913,9,13
988,1913,9,14
989,1913,9,15
990,1913,9,16
991,1913,9,17
992,1913,9,18
993,1913,9,19
994,1913,9,20
995,1913,9,21
996,1913,9,22
997,1913,9,23
998,1913,9,24
999,1913,9,25
1000,1913,9,26
1001,1913,9,27
1002,1913,9,28
1003,1913,9,29
1004,1913,9,30
1005,1913,10,1
1006,1913,10,2
1007,1913,10,3
1008,1913,10,4
1009,1913,10,5
1010,1913,10,6
1011,1913,10,7
1012,1913,10,8
1013,1913,10,9
1014,1913,10,10
1015,1913,10,11
1016,1913,10,12
1017,1913,10,13
1018,1913,10,14
1019,1913,10,15
1020,1913,10,16
1021,1913,10,17
1022,1913,10,18
1023,1913,10,19
1024,1913,10,20
1025,1913,10,21
1026,1913,10,22
1027,1913,10,23
1028,1913,10,24
1029,1913,10,25
1030,1913,10,26
1031,1913,10,27
1032,1913,10,28
1033,1913,10,29
1034,1913,10,30
1035,1913,10,31
1036,1913,11,1
1037,1913,11,2
1038,1913,11,3
1039,1913,11,4
1040,1913,11,5
1041,1913,11,6
1042,1913,11,7
1043,1913,11,8
1044,1913,11,9
1045,1913,11,10
1046,1913,11,11
1047,1913,11,12
1048,1913,11,13
1049,1913,11,14
1050,1913,11,15
1051,1913,11,16
1052,1913,11,17
1053,1913,11,18
1054,1913,11,19
1055,1913,11,20
1056,1913,11,21
1057,1913,11,22
1058,1913,11,23
1059,1913,11,24
1060,1913,11,25
1061,1913,11,26
1062,1913,11,27
1063,1913,11,28
1064,1913,11,29
1065,1913,11,30
1066,1913,12,1
1067,1913,12,2
1068,1913,12,3
1069,1913,12,4
1070,1913,12,5
1071,1913,12,6
1072,1913,12,7
1073,1913,12,8
1074,1913,12,9
1075,1913,12,10
1076,1913,12,11
1077,1913,12,12
1078,1913,12,13
1079,1913,12,14
1080,1913,12,15
1081,1913,12,16
1082,1913,12,17
1083,1913,12,18
1084,1913,12,19
1085,1913,12,20
1086,1913,12,21
1087,1913,12,22
1088,1913,12,23
1089,1913,12,24
1090,1913,12,25
1091,1913,12,26
1092,1913,12,27
1093,1913,12,28
1094,1913,12,29
1095,1913,12,30
1096,1913,12,31
1097,1914,1,1
1098,1914,1,2
1099,1914,1,3
1100,1914,1,4
1101,1914,1,5
1102,1914,1,6
1103,1914,1,7
1104,1914,1,8
1105,1914,1,9
1106,1914,1,10
1107,1914,1,11
1108,1914,1,12
1109,1914,1,13
1110,1914,1,14
1111,1914,1,15
1112,1914,1,16
1113,1914,1,17
1114,1914,1,18
1115,1914,1,19
1116,1914,1,20
1117,1914,1,21
1118,1914,1,22
1119,1914,1,23
1120,1914,1,24
1121,1914,1,25
1122,1914,1,26
1123,1914,1,27
1124,1914,1,28
1125,1914,1,29
1126,1914,1,30
1127,1914,1,31
1128,1914,2,1
1129,1914,2,2
1130,1914,2,3
1131,1914,2,4
1132,1914,2,5
1133,1914,2,6
1134,1914,2,7
1135,1914,2,8
1136,1914,2,9
1137,1914,2,10
1138,1914,2,11
1139,1914,2,12
1140,1914,2,13
1141,1914,2,14
1142,1914,2,15
1143,1914,2,16
1144,1914,2,17
1145,1914,2,18
1146,1914,2,19
1147,1914,2,20
1148,1914,2,21
